City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bredasdorp,-34.5322,20.0403,18.4,76,8,2.37,ZA,1738530536
83,sitka,57.0531,-135.33,-1.06,31,0,0.0,US,1738530662
84,ilulissat,69.2167,-51.1,-18.99,71,90,1.54,GL,1738530664
85,hazorasp,41.3194,61.0742,0.37,65,5,3.99,UZ,1738530665
86,howard springs,-12.497,131.047,29.95,92,100,4.44,AU,1738530666
87,northam,51.0333,-4.2167,7.11,88,46,0.89,GB,1738530667
88,huarmey,-10.0681,-78.1522,24.46,74,99,4.22,PE,1738530668
89,birecik,37.0294,37.9903,8.45,53,81,1.25,TR,1738530669
90,mpongwe,-13.5091,28.155,18.0,97,95,1.84,ZM,1738530670
91,brookings,44.3114,-96.7984,0.66,55,0,5.14,US,1738530672
92,nsanje,-16.92,35.262,24.66,97,100,1.64,MW,1738530673
93,punta arenas,-53.15,-70.9167,13.06,50,75,15.43,CL,1738530404
94,katabu,-4.9333,122.5167,23.86,96,100,0.29,ID,1738530675
95,arraial do cabo,-22.9661,-42.0278,26.92,69,20,6.69,BR,1738530412
96,porto recanati,43.4365,13.6613,9.29,91,27,1.01,IT,1738530677
97,college,64.8569,-147.8028,-11.07,84,100,0.0,US,1738530678
98,moranbah,-22.0016,148.0466,21.52,92,100,8.46,AU,1738530680
99,mahibadhoo,3.7833,72.9667,27.29,77,64,4.32,MV,1738530681
100,el nido,11.1858,119.3956,24.52,94,86,2.52,PH,1738530682
101,toliara,-23.35,43.6667,26.2,75,48,6.51,MG,1738530519
102,maun,-19.9833,23.4167,23.93,63,42,2.47,BW,1738530684
103,puerto ayora,-0.7393,-90.3518,25.86,93,78,3.13,EC,1738530685
104,sabzevar,36.2126,57.6819,3.84,42,98,3.49,IR,1738530686
105,mount gambier,-37.8333,140.7667,21.53,64,0,1.06,AU,1738530687
106,motueka,-41.1333,173.0167,21.17,63,100,0.91,NZ,1738530597
107,kuanda,56.3161,116.0806,-30.78,95,100,0.18,RU,1738530690
108,ushuaia,-54.8,-68.3,7.57,91,100,1.79,AR,1738530455
109,afaahiti,-17.75,-149.2833,26.27,78,34,5.68,PF,1738530693
110,colonia,50.9333,6.95,1.65,77,0,1.54,DE,1738530430
111,mermoz boabab,14.7065,-17.4758,19.35,73,0,8.99,SN,1738530695
112,ketchikan,55.3422,-131.6461,-3.74,35,0,6.17,US,1738530697
113,luganville,-15.5333,167.1667,26.69,81,100,5.26,VU,1738530698
114,nuuk,64.1835,-51.7216,-8.66,79,100,5.14,GL,1738530699
115,port blair,11.6667,92.75,23.56,81,4,5.39,IN,1738530700
116,tolanaro,-25.0319,46.9987,23.45,83,68,2.84,MG,1738530701
117,alapayevsk,57.8516,61.6963,-2.11,97,100,0.77,RU,1738530702
118,alandi,18.6667,73.9,21.82,38,94,1.17,IN,1738530703
119,kralendijk,12.15,-68.2667,28.99,65,20,6.69,BQ,1738530705
120,isafjordur,66.0755,-23.124,-4.34,82,95,2.29,IS,1738530706
121,waimea,20.0231,-155.6717,17.52,100,16,2.74,US,1738530707
122,whitehorse,60.7161,-135.0538,-15.5,70,100,5.36,CA,1738530708
123,high rock,26.6208,-78.2833,24.02,76,37,3.99,BS,1738530709
124,avarua,-21.2078,-159.775,29.03,79,28,5.14,CK,1738530710
